Time,Temperature (° C),,,Dew Point (° C),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,,Precipitation (in)
Jul,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
1,35,29.2,25,26,24.6,23,100,78.8,49,28,10.2,0,1008.6,1006.8,1003.6,0
2,34,28.6,25,26,25.1,23,100,82.5,55,30,12.4,0,1008.6,1006.9,1004.6,0
3,34,29.3,27,25,24.1,23,89,74.6,56,31,15,6,1008.6,1006.4,1003.6,0
4,33,29.5,25,25,24,23,94,73.2,55,24,15.2,7,1008.6,1006.1,1003.6,0
5,33,29.7,26,26,23.8,23,84,71.1,59,24,14.8,6,1006.6,1004.9,1002.6,0
6,34,28.8,24,27,23.8,23,100,75.2,56,33,15.8,0,1006.6,1004.6,1002.6,0
7,32,29,25,26,23.9,22,100,75.3,58,30,13,0,1006.6,1004.9,1001.6,0
8,33,30.1,27,25,23.6,23,79,68.1,59,22,14.4,9,1005.6,1004.3,1002.6,0
9,34,29.1,25,26,24.3,24,100,76,56,28,11.8,0,1007.6,1005.1,1002.6,0
10,32,28.9,25,26,24.4,23,100,77.7,62,26,13.1,0,1007.6,1005.6,1003.6,0
11,31,28.4,26,25,23.6,22,89,75.5,66,28,17.2,9,1006.6,1005.1,1002.6,0
12,32,28.4,24,26,23.8,22,100,76.7,59,28,12.8,4,1005.6,1004.3,1001.6,0
13,33,28.6,25,26,24.4,23,94,78.8,59,31,13.3,4,1005.6,1003.8,1001.6,0
14,33,28.9,27,27,24.3,23,94,76.5,59,19,11.9,0,1006.6,1004.2,1001.6,0
15,32,29.4,27,25,24,22,84,73.3,55,31,16,6,1007.6,1005.4,1003.6,0
16,31,28.6,27,26,24.6,23,94,79.3,66,24,12.4,0,1007.6,1005.2,1003.6,0
17,28,27.2,26,27,25.6,25,100,91.5,84,20,10.1,6,1005.6,1002.9,1000.6,0
18,32,28.6,27,26,24.2,23,94,77.7,62,30,17.2,7,1003.6,1001.5,999.6,0
19,32,28.8,26,26,24.7,23,94,79.1,62,24,11.1,0,1005.6,1003.6,1001.6,0
20,33,29.4,27,28,25.9,25,94,82.1,63,37,11.5,0,1007.6,1005.3,1003.6,0
21,33,30.5,28,27,25,24,94,73,63,26,13.4,0,1007.6,1006.1,1004.6,0
22,33,29.2,26,27,25,24,100,78.6,59,22,12.5,0,1007.6,1006.2,1004.6,0
23,34,30,28,26,24.7,24,84,73.4,56,26,15,6,1007.6,1005.5,1002.6,0
24,33,29.9,28,24,23.9,23,79,70.1,55,26,15.5,7,1007.6,1006.2,1003.6,0
25,33,29.8,27,26,24.6,24,84,73.9,59,22,13.1,0,1007.6,1006.4,1004.6,0
26,33,29.9,27,26,24.6,24,89,73.5,59,26,12.8,0,1007.6,1006.6,1003.6,0
27,33,30.2,28,26,24.9,24,84,73.7,59,24,12.5,0,1007.6,1005.9,1003.6,0
28,33,29.3,26,26,24.6,24,100,77.1,59,31,13.5,0,1007.6,1005.9,1003.6,0
29,33,28.7,26,27,25.3,24,100,83.1,63,31,8.1,0,1007.6,1005.6,1003.6,0
30,32,27.3,25,26,25.1,23,100,88.3,70,33,8.3,0,1009.6,1006.2,1004.6,0
31,32,28.9,25,26,23.7,22,100,74.8,58,28,11.1,0,1009.6,1007.6,1005.6,0
